ID,name,range,elevation,latitude,longitude,standard_route,distance,gain,difficulty,photo
43,Mount Lindsey,Sangre de Cristo Range,14048,37.5837,-105.4449,Northwest Gully ,8.25,3500,Easy Class 3,https://www.14ers.com/photos/mtlindsey/peakphotos/large/200606_Lind01.jpg
44,Little Bear Peak,Sangre de Cristo Range,14043,37.5666,-105.4972,West Ridge and Southwest Face ,14,6200,Class 4,https://www.14ers.com/photos/blancagroup/peakphotos/large/200607_Litt01.jpg
45,Mount Sherman,Mosquito Range,14043,39.225,-106.1699,Southwest Ridge ,5.25,2100,Class 2,https://www.14ers.com/photos/mtsherman/peakphotos/large/201207_Sher02.jpg
46,Redcloud Peak,San Juan Mountains,14041,37.941,-107.4219,Northeast Ridge ,9,3700,Class 2,https://www.14ers.com/photos/redcloudgroup/peakphotos/large/201610_Redc02.jpg
47,Pyramid Peak,Elk Mountains,14025,39.0717,-106.9502,Northeast Ridge ,8.25,4500,Class 4,https://www.14ers.com/photos/maroongroup/peakphotos/large/200807_Pyra01.jpg
48,Wilson Peak,San Juan Mountains,14023,37.8603,-107.9847,Southwest Ridge ,10,5000,Class 3,https://www.14ers.com/photos/wilsongroup/peakphotos/large/200604_Wils01.jpg
49,San Luis Peak,San Juan Mountains,14022,37.9868,-106.9313,Northeast Ridge ,13.5,3600,Class 1,https://www.14ers.com/photos/sanluispeak/peakphotos/large/201807_San01.jpg
50,Wetterhorn Peak,San Juan Mountains,14021,38.0607,-107.5109,Southeast Ridge ,7,3300,Class 3,https://www.14ers.com/photos/wetterhornpeak/peakphotos/large/201106_Wett01.jpg
51,Mount of the Holy Cross,Sawatch Range,14011,39.4668,-106.4817,North Ridge ,12,5600,Class 2,https://www.14ers.com/photos/mtholycross/peakphotos/large/200706_Holy01.jpg
52,Huron Peak,Sawatch Range,14010,38.9455,-106.4381,Northwest Slopes ,6.5,3500,Class 2,https://www.14ers.com/photos/huronpeak/peakphotos/large/201607_Huro01.jpg
53,Sunshine Peak,San Juan Mountains,14007,37.9228,-107.4256,Via Redcloud Peak ,12.25,4800,Class 2,https://www.14ers.com/photos/redcloudgroup/peakphotos/large/200606_Sun01.jpg
54,Mt. Cameron,Mosquito Range,14238,39.347165,-106.118501,West Ridge ,4.75,2250,Class 2,https://www.14ers.com/photos/lincolngroup/peakphotos/large/200505_Linc01.jpg
55,El Diente Peak,San Juan Mountains,14159,37.839383,-108.005335,North Slopes ,15,5000,Class 3,https://www.14ers.com/photos/wilsongroup/peakphotos/large/201007_ElD01.jpg
56,Conundrum Peak,Elk Mountains,14060,39.015682,-106.862749,Via Castle Peak ,14.5,4850,Hard Class 2,https://www.14ers.com/photos/castlegroup/peakphotos/large/200807_Cast01.jpg
57,North Eolus,San Juan Mountains,14039,37.625192,-107.621187,South Ridge ,16.75,6000,Class 3,https://www.14ers.com/photos/windomgroup/peakphotos/large/200607_Eolus01.jpg
58,North Maroon Peak,Elk Mountains,14014,39.076007,-106.987058,Northeast Ridge ,9.25,4500,Class 4,https://www.14ers.com/photos/maroongroup/peakphotos/large/200807_NMar01.jpg
